titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
BÍFIDUS NATURAL ACTIVIA, PACK 8X120 G;3.89;3.3;3.9;3.8;0.0;0.0;bífidus natural activia pack 8x120 g eroski;0.8897742363877822;10.0;-3.0999999999999996
YOGUR SABOR FRESA-PLÁTANO-LIMÓN EROSKI BASIC, PACK 8X125 G;1.48;3.2;12.0;1.7;0.0;0.0;yogur sabor fresaplátanolimón eroski basic pack 8x125 g eroski;0.9697875166002656;9.696969696969697;-10.2
YOGUR GRIEGO NATURAL OIKOS, PACK 4X110 G;2.99;3.2;4.1;10.0;0.0;0.0;yogur griego natural oikos pack 4x110 g eroski;0.9196547144754316;9.696969696969697;-7.399999999999998
YOGUR GRIEGO STRACIATTELLA EROSKI, PACK 6X125 G;1.9;2.4;15.0;9.2;0.0;0.0;yogur griego straciattella eroski pack 6x125 g eroski;0.9558432934926959;7.2727272727272725;-19.0
YOGUR GRIEGO NATURAL 10% MATERIA GRASA EROSKI, TARRINA 1 KG;2.3;3.4;3.6;10.0;0.0;0.0;yogur griego natural 10 materia grasa eroski tarrina 1 kg eroski;0.9425630810092962;10.303030303030303;-7.26
YOGUR NATURAL LACTUYOGUR, PACK 4X125 G;1.79;3.0;4.2;3.6;0.0;0.0;yogur natural lactuyogur pack 4x125 g eroski;0.9594953519256308;9.090909090909092;-3.6799999999999997
BÍFIDUS CREMOSO SABOR LIMA-LIMÓN ACTIVIA, PACK 4X115 G;2.69;3.7;13.7;3.4;0.0;0.0;bífidus cremoso sabor limalimón activia pack 4x115 g eroski;0.9296148738379814;11.212121212121213;-12.0
YOGUR NATURAL GUREA, PACK 4X115 G;2.69;4.6;5.2;4.0;0.0;0.0;yogur natural gurea pack 4x115 g eroski;0.9296148738379814;13.939393939393938;-3.6000000000000014
YOGUR GRIEGO NATURAL AZUCARADO OIKOS, PACK 4X110 G;2.99;3.2;10.6;10.0;0.0;0.0;yogur griego natural azucarado oikos pack 4x110 g eroski;0.9196547144754316;9.696969696969697;-13.899999999999999
YOGUR DE COCO NATURAL ALPRO, TARRINA 350 G;2.59;0.6;6.0;6.1;0.0;0.0;yogur de coco natural alpro tarrina 350 g eroski;0.9329349269588314;1.8181818181818181;-5.84
YOGUR NATURAL ARTESANO GOENAGA, PACK 4X125 G;2.65;3.6;4.1;4.0;0.0;0.0;yogur natural artesano goenaga pack 4x125 g eroski;0.9309428950863214;10.90909090909091;-3.9
YOGUR LÍQUIDO SABOR FRESA-PLÁTANO EROSKI, PACK 4X180 G;1.85;2.6;11.0;1.1;0.0;0.0;yogur líquido sabor fresaplátano eroski pack 4x180 g eroski;0.9575033200531209;7.87878787878788;-9.299999999999999
YOGUR GRIEGO NATURAL DANONE, PACK 4X110 G;1.49;3.6;4.6;7.0;0.0;0.0;yogur griego natural danone pack 4x110 g eroski;0.9694555112881806;10.90909090909091;-5.76
YOGUR GRIEGO NATURAL LIGHT 2% EROSKI, PACK 6X125 G;1.55;5.8;5.3;2.0;0.0;0.0;yogur griego natural light 2 eroski pack 6x125 g eroski;0.9674634794156707;17.575757575757574;-1.2199999999999998
YOGUR SABOR LIMÓN LACTUYOGUR, PACK 4X125 G;1.79;2.9;11.8;2.6;0.0;0.0;yogur sabor limón lactuyogur pack 4x125 g eroski;0.9594953519256308;8.787878787878787;-10.280000000000001
YOGUR GRIEGO CON LIMA-LIMÓN EROSKI, PACK 6X125 G;1.7;0.0;0.0;0.0;0.0;0.0;yogur griego con limalimón eroski pack 6x125 g eroski;0.9624833997343958;0.0;0.0
YOGUR GRIEGO LIGHT 2% EROSKI, TARRINA 1 KG;2.3;0.0;0.0;0.0;0.0;0.0;yogur griego light 2 eroski tarrina 1 kg eroski;0.9425630810092962;0.0;0.0
YOGUR SABOR A FRESA DANONE, PACK 4X120 G;1.0;3.0;10.0;2.2;0.0;0.0;yogur sabor a fresa danone pack 4x120 g eroski;0.9857237715803453;9.090909090909092;-8.72
ARROZ LARGO EROSKI BASIC, PAQUETE 1 KG;1.14;6.9;78.2;0.61;0.0;0.0;arroz largo eroski basic paquete 1 kg eroski;0.9810756972111554;20.90909090909091;6.734
ARROZ REDONDO SOS, PAQUETE 1 KG;1.88;6.5;79.0;0.5;0.0;0.0;arroz redondo sos paquete 1 kg eroski;0.9565073041168659;19.696969696969695;6.3
ARROZ BOMBA LA FALLERA, PAQUETE 1 KG;5.95;7.8;76.0;0.9;0.0;0.0;arroz bomba la fallera paquete 1 kg eroski;0.8213811420982736;23.636363636363637;7.3
